code,prefname,name,url,stat2015_total,stat2015_dencity,stat2015_ave_age,stat2015_mean_age,stat2015_under15,stat2015_15to64,stat2015_over65,stat2015_per15,stat2015_per15to64,stat2015_per65
1100,北海道,北海道札幌市,http://www2.city.sapporo.jp/opendata/,1952356,"1,741.2",46.2,46.4,221013,1235516,483534,11.39205273,63.68432365,24.92362361
1202,北海道,北海道函館市,http://www.city.hakodate.hokkaido.jp/docs/2016072200055/,265979,392.4,50.1,52.7,27131,152154,85931,10.22977498,57.36984194,32.40038308
1203,北海道,北海道小樽市,http://www.city.otaru.lg.jp/sisei_tokei/kojin_joho/open_deta/,121924,500.0,52.4,56.5,11171,65317,45240,9.177017613,53.65815589,37.1648265
1204,北海道,北海道旭川市,http://www.city.asahikawa.hokkaido.jp/700/jouhouseisaku/jouhouseisaku004/d054760.html,339605,454.2,49.6,51.9,37173,191423,106444,11.09509312,57.13437202,31.77053486
1205,北海道,北海道室蘭市,http://www.city.muroran.lg.jp/main/org2260/odlib.php,88564,"1,095.0",49.9,52.5,9185,49005,30118,10.40109616,55.49327354,34.10563029
1345,北海道,北海道森町,http://www.town.hokkaido-mori.lg.jp/bunya/joho_opendata/,15946,43.2,51.2,55,1795,8625,5526,11.2567415,54.0887997,34.6544588
1346,北海道,北海道八雲町,http://www.town.yakumo.lg.jp/modules/jigyo/category0080.html,17252,18.0,49.8,52.3,1967,9895,5369,11.41547211,57.42557019,31.15895769
2201,青森県,青森県青森市,http://www.city.aomori.aomori.jp/joho-seisaku/opendata/opendata_portal.html,287648,348.8,48.2,50.2,32528,168992,80297,11.54224195,59.96515469,28.49260336
2202,青森県,青森県弘前市,https://www.opendata-hirosaki.jp/,177411,338.4,48.2,50.1,19410,105062,51830,11.00951776,59.59206362,29.39841862
2203,青森県,青森県八戸市,"http://www.city.hachinohe.aomori.jp/index.cfm/8,98085,35,516,html",231257,756.9,47.6,49.2,28122,136712,63614,12.31002241,59.84381566,27.84616193
4100,宮城県,宮城県仙台市,http://www.city.sendai.jp/joho-kikaku/shise/security/kokai/dataportal.html,1082159,"1,376.3",44.3,43.9,129309,674873,234360,12.45101305,64.98273541,22.56625153
4202,宮城県,宮城県石巻市,http://www.city.ishinomaki.lg.jp/cont/10182000/20161007130030.html,147214,265.5,48.8,51,16911,85018,44248,11.56885146,58.1609966,30.27015194
4212,宮城県,宮城県登米市,http://www.city.tome.miyagi.jp/kikaku/opendata.html,81959,152.9,49.9,53.5,9726,46668,25315,11.90321752,57.11488331,30.98189918
5203,秋田県,秋田県横手市,http://www.city.yokote.lg.jp/joho/page000006.html,92197,133.1,52.2,56.2,9805,49769,32319,10.67001839,54.15972925,35.17025236
5207,秋田県,秋田県湯沢市,http://www.city-yuzawa.jp/opendatatop/index.html,46613,58.9,53,56.9,4507,25403,16650,9.679982818,54.5597079,35.76030928
6201,山形県,山形県山形市,https://www.city.yamagata-yamagata.lg.jp/opendeta/,253832,665.7,46.8,47.3,31869,151271,68745,12.65220239,60.05558092,27.29221669
7202,福島県,福島県会津若松市,https://www.data4citizen.jp,124062,323.9,47.8,49.7,15681,72042,34914,12.7865163,58.74409844,28.46938526
7204,福島県,福島県いわき市,http://www.city.iwaki.lg.jp/www/contents/1450754040684/index.html,350237,284.3,48,49.9,42404,204962,98323,12.26651701,59.29086549,28.4426175
7208,福島県,福島県喜多方市,https://www.city.kitakata.fukushima.jp/soshiki/jyouhou/291.html,49377,89.0,51.4,55.1,5619,25951,16674,11.64704419,53.79114501,34.5618108
8201,茨城県,茨城県水戸市,http://www.city.mito.lg.jp/opendata_lib/index.html,270783,"1,246.0",45.6,45.7,34839,163039,66236,13.19089484,61.7305406,25.07856456
8216,茨城県,茨城県笠間市,http://www.city.kasama.lg.jp/page/page006070.html,76739,319.2,47.9,49.7,9251,45466,21713,12.10388591,59.48711239,28.4090017
8341,茨城県,茨城県東海村,http://www.vill.tokai.ibaraki.jp/viewer/genre1.html?id=1008,37713,993.0,44.2,44.3,5870,22388,8941,15.77999409,60.18441356,24.03559235
9201,栃木県,栃木県宇都宮市,http://www.city.utsunomiya.tochigi.jp/opendata/index.html,518594,"1,244.1",44.5,44.2,70889,327930,119000,13.68991868,63.32907831,22.98100301
9208,栃木県,栃木県小山市,https://www.city.oyama.tochigi.jp/gyosei/johokokai/opendata/opendata_site.html,166760,970.9,44.4,44.5,22523,105124,37162,13.6661226,63.78535153,22.54852587
9210,栃木県,栃木県大田原市,http://opendata-nasu.opendatastack.jp/,75457,212.9,46.4,46.8,9056,46574,18817,12.16435854,62.55994197,25.27569949
9213,栃木県,栃木県那須塩原市,http://opendata-nasu.opendatastack.jp/,117146,197.6,45.4,45.8,15836,71997,27944,13.67801895,62.18592639,24.13605466
9214,栃木県,栃木県さくら市,http://www.city.tochigi-sakura.lg.jp/site/opendata/,44901,357.4,44.9,44.7,6417,27694,10648,14.33678143,61.87358967,23.7896289
9386,栃木県,栃木県高根沢町,https://www.town.takanezawa.tochigi.jp/gyosei/tokei/opendata-jyunbi.html,29639,418.2,44.8,44.4,3845,18679,6722,13.14709704,63.86856322,22.98433974
9407,栃木県,栃木県那須町,http://opendata-nasu.opendatastack.jp/,24919,66.9,51.4,56.4,2570,13692,8614,10.33124297,55.04100338,34.62775366
10201,群馬県,群馬県前橋市,http://www.city.maebashi.gunma.jp/sisei/499/509/p012146.html,336154,"1,078.8",47,47.7,41961,196034,91143,12.74875584,59.55981989,27.69142427
11100,埼玉県,埼玉県さいたま市,http://www.city.saitama.jp/006/008/002/014/index.html,1263979,"5,813.3",44.3,44.4,164722,799279,284138,13.1974083,64.03765927,22.76493243
11201,埼玉県,埼玉県川越市,https://opendata.pref.saitama.lg.jp/,350745,"3,214.0",45.1,45,44231,216977,87358,12.68941893,62.24846944,25.06211162
11202,埼玉県,埼玉県熊谷市,http://www.city.kumagaya.lg.jp/about/opendata/index.html,198742,"1,243.5",46.5,47.3,23986,122319,52007,12.0950825,61.68007987,26.22483763
11203,埼玉県,埼玉県川口市,http://www.city.kawaguchi.lg.jp/kbn/04150088/04150088.html,578112,"9,331.9",44.2,44,74476,369270,129410,12.99401908,64.42748571,22.57849521
11217,埼玉県,埼玉県鴻巣市,http://www.city.kounosu.saitama.jp/opendata/,118072,"1,750.8",46.5,47.6,14096,72869,30968,11.95254933,61.78847312,26.25897756
